Country,2018,2019,2021,2022
Indonesia,53,40.0,60.0,63.0
Australia,40,37.0,30.0,33.0
New Zealand,40,41.0,34.0,34.0
United States of America,39,42.0,,37.0
Ireland,40,38.0,26.0,32.0
United Kingdom of Great Britain and Northern Ireland,33,30.0,22.0,24.0
Singapore,39,19.0,,23.0
Kenya,45,37.0,49.0,52.0
Myanmar,34,43.0,31.0,28.0
Bahrain,33,,19.0,
Netherlands,37,36.0,21.0,26.0
United Arab Emirates,23,19.0,21.0,21.0
Norway,32,,19.0,26.0
Haiti,31,30.0,,
Canada,33,37.0,18.0,29.0
Nigeria,37,32.0,42.0,35.0
Iceland,27,,16.0,22.0
Malta,25,24.0,18.0,23.0
Liberia,47,43.0,,
Sierra Leone,37,33.0,,44.0
Zambia,34,28.0,28.0,43.0
Germany,26,26.0,15.0,20.0
Trinidad and Tobago,31,,,
Denmark,23,22.0,19.0,23.0
Mauritius,38,,25.0,25.0
Switzerland,37,32.0,19.0,27.0
Sri Lanka,45,46.0,26.0,37.0
Libya,24,,,
Iran (Islamic Republic of),20,20.0,11.0,15.0
Hong Kong,19,,6.0,12.0
Gambia,30,,,
Austria,26,27.0,18.0,27.0
Kuwait,11,,,
Iraq,19,13.0,14.0,10.0
Cyprus,26,25.0,18.0,22.0
Tajikistan,36,39.0,49.0,43.0
Ghana,36,30.0,32.0,33.0
Israel,23,22.0,12.0,21.0
Belgium,27,25.0,15.0,
South Africa,34,25.0,31.0,28.0
Luxembourg,33,29.0,,
Sweden,13,13.0,11.0,17.0
Turkmenistan,35,43.0,,
Finland,26,28.0,22.0,23.0
Mongolia,36,33.0,42.0,36.0
Honduras,32,31.0,,33.0
Slovenia,35,32.0,22.0,25.0
South Sudan,29,,,
Dominican Republic,32,32.0,28.0,36.0
Uganda,26,26.0,31.0,35.0
Saudi Arabia,12,13.0,14.0,16.0
Nepal,27,26.0,33.0,30.0
Uzbekistan,20,33.0,16.0,15.0
Spain,17,16.0,13.0,16.0
Kyrgyzstan,18,25.0,22.0,23.0
Jamaica,29,,23.0,36.0
Malawi,26,29.0,,30.0
"Congo, Democratic Republic of the",29,,,
Paraguay,22,22.0,21.0,29.0
"Korea, Republic of",15,20.0,10.0,
Chile,15,15.0,14.0,16.0
Thailand,12,15.0,17.0,19.0
Costa Rica,17,22.0,12.0,22.0
Cameroon,16,16.0,24.0,22.0
"Taiwan, Province of China",19,,,
Guatemala,28,34.0,,
Kosovo,10,11.0,10.0,11.0
Nicaragua,22,20.0,20.0,30.0
Italy,17,16.0,9.0,14.0
Central African Republic,27,,,
Guinea,24,23.0,,33.0
Niger,20,11.0,,
France,31,27.0,23.0,29.0
Namibia,21,,24.0,23.0
Bangladesh,13,11.0,13.0,
Jordan,9,7.0,5.0,9.0
Zimbabwe,18,21.0,27.0,19.0
Uruguay,15,15.0,14.0,19.0
Panama,21,25.0,,23.0
Mozambique,27,,,30.0
Colombia,17,20.0,16.0,24.0
Ukraine,15,19.0,19.0,24.0
Burkina Faso,19,15.0,,32.0
Portugal,15,14.0,10.0,10.0
"Tanzania, United Republic of",8,,,
Lebanon,12,10.0,8.0,9.0
Bolivia (Plurinational State of),21,21.0,19.0,33.0
Senegal,15,14.0,21.0,25.0
Slovakia,22,14.0,14.0,19.0
Philippines,28,38.0,23.0,39.0
Bosnia and Herzegovina,7,,,10.0
Pakistan,13,13.0,8.0,10.0
Algeria,17,,18.0,14.0
Mali,20,12.0,24.0,32.0
Argentina,15,16.0,16.0,31.0
Lesotho,20,,,
Kazakhstan,16,20.0,12.0,16.0
Botswana,16,18.0,,
Ethiopia,23,17.0,30.0,
"Moldova, Republic of",13,16.0,,
Madagascar,31,24.0,,
Peru,20,19.0,18.0,24.0
Chad,16,16.0,,
Romania,6,7.0,7.0,11.0
Rwanda,18,14.0,,
Morocco,9,7.0,6.0,14.0
Benin,17,15.0,13.0,24.0
Egypt,6,6.0,10.0,4.0
Venezuela (Bolivarian Republic of),15,13.0,23.0,30.0
Albania,7,9.0,11.0,8.0
Estonia,16,17.0,18.0,20.0
Russian Federation,11,16.0,14.0,24.0
Côte d'Ivoire,7,,,
Poland,15,11.0,21.0,25.0
Gabon,10,11.0,10.0,17.0
Mexico,14,18.0,16.0,27.0
Congo,14,15.0,23.0,
Montenegro,9,8.0,11.0,
Togo,14,,,23.0
Georgia,17,18.0,34.0,22.0
Ecuador,18,15.0,17.0,30.0
Hungary,12,9.0,9.0,13.0
Belarus,19,25.0,,
Brazil,13,15.0,15.0,25.0
Armenia,9,8.0,,11.0
India,15,19.0,34.0,33.0
Czechia,19,15.0,19.0,24.0
Bulgaria,5,5.0,12.0,18.0
El Salvador,15,18.0,22.0,27.0
Japan,23,22.0,12.0,17.0
Serbia,6,6.0,5.0,9.0
North Macedonia,5,,,
Türkiye,9,,10.0,11.0
Croatia,11,9.0,7.0,10.0
Mauritania,14,15.0,,
Lao People's Democratic Republic,4,,,
Tunisia,8,9.0,12.0,13.0
Afghanistan,11,17.0,,13.0
Latvia,9,10.0,7.0,10.0
Lithuania,18,11.0,16.0,19.0
Azerbaijan,12,20.0,,
Cambodia,6,8.0,13.0,10.0
"Palestine, State of",9,,,
China,7,5.0,14.0,28.0
Greece,7,6.0,14.0,17.0
Yemen,6,5.0,,
